file1,file2,match_count,common_count,match_ratio
llama_20251114T064238_30.csv,qwen_20251114T064707_30.csv,148,500,0.296
llama_20251114T064238_30.csv,deepseek_20251116T022356_30.csv,104,500,0.208
qwen_20251114T064707_30.csv,deepseek_20251116T022356_30.csv,137,500,0.274
