req_id,cosine_similarity
226,0.0
657,0.7369339725648436
824,0.5010362705417046
988,0.8702559015375745
1005,0.8311419768085075
1011,0.9805806756909202
1140,0.776363140564644
1326,0.38277708851093317
1555,0.9436744026898408
1575,0.2538509925952298
1723,0.9061831399952653
1963,0.9889169274417825
2288,0.4335706551409654
2550,0.6188582998116653
2555,0.4310947612215146
2631,0.11695668950003861
2795,0.44630369914433676
2962,0.8520518279668281
3120,0.3470344236384201
3365,0.29489224789732743
3401,0.981217287925157
3411,0.055317045476017956
3573,0.20521602612070838
3745,0.39245211299211913
4087,0.9732811672447097
4229,0.4023051821184799
4280,0.45487359924269105
4321,0.3575921250141394
4653,0.5749785824466984
4737,0.05793309762909669
4917,0.12800409619661848
4922,0.47007349360514045
5373,0.2746313131705766
5403,0.4843541897861206
5407,0.6638371512400062
5413,0.8718787129232203
5725,0.21865796284924555
5918,0.6312634410548774
6125,0.9805806756909202
6345,0.23747240996269758
6411,0.8344570341933564
6447,0.9923265595483206
6498,0.291161615782696
6531,0.42911912391129087
6778,0.36712470368442934
6836,0.0757501632469685
7022,0.9897594780811197
7143,0.5243634829976823
7331,0.9925029595966158
7947,0.3429399739025931
7965,0.9346062131977515
8779,0.9617533114010115
9226,0.9093078989577118
9310,0.4408167345244468
9437,0.9569874167536978
9471,0.9566738804288584
9675,0.6367291735506322
9696,0.12426648259379103
10905,0.7564900711329742
11028,0.08717266150063677
11061,0.14613827659983555
11211,0.08033229901701308
11217,0.4381804011859592
11616,0.55130750264852
11704,0.976441647297393
11765,0.8492960369501037
12085,0.739206970905463
12093,0.10863148739771986
12618,0.36664099479647794
12743,1.0
13333,0.5356846144378633
13713,0.5285137581651962
13823,0.26010639487132026
13886,0.24808195703002647
13989,0.9384486547435091
14390,0.11722555490672963
15272,0.7259920715064889
15363,0.6685797183854412
15379,0.17149858514250882
15382,0.04788676522143339
15638,0.9214064786997641
15645,0.864546015635533
15780,0.4740380860912425
15903,0.8075091612339953
16153,0.12350804543889272
16251,0.6873676667951426
16704,0.19562390453161782
16909,0.9961424312440351
17033,0.2315253748282324
17114,0.28777590048184
17579,0.9796620987439271
17832,0.05668529614542863
18102,0.019507897127189196
18110,0.3348281194546089
18383,0.40993876680684926
18442,0.1474562038194378
18533,0.18114359820164166
18665,0.5070410343738329
19298,0.8997273710659118
19448,0.23163944809251372
19482,0.11183226639330965
19554,0.9977626332184695
19610,0.36880435884168256
19672,0.6170093960748728
20094,0.008661518711904272
20218,0.7199814903168166
20220,0.5144957554275266
20241,0.9469554171723943
20483,0.8974850706584452
20657,0.2032669081724181
20768,0.21179343552183938
21286,0.11043152607484655
21379,0.7709217904061956
21638,0.8843397485803645
22500,0.8863206931186505
22558,0.5625899171986938
22597,0.8842487077620165
22798,0.3841215643899124
24471,0.41964006647658675
24657,0.9504089625927379
24740,0.5432512781572743
25109,0.8600502811930096
25247,0.5039171348077738
25454,0.814865955611547
25898,0.6787488617818508
25997,0.7242277524891161
26517,0.14587554880196496
26788,0.9833756957393684
26898,0.21070622313041143
26942,0.062108419629346975
27510,0.736423995388171
28078,0.4736275567979091
28158,0.2621263267562621
28490,0.05970154749403497
29169,0.016217618881750905
29666,0.0
30056,0.9957406740559501
30193,0.1520571842539411
30228,0.7619505177944038
30229,0.8918796237364002
30252,0.7088612031709568
30761,0.9553593309447138
30956,0.03256115296532753
31236,0.21259760138109357
31299,0.41259358094257775
32081,0.8320502943378436
32166,0.837748776916189
32190,0.5062255415753337
32570,0.5010362705417046
32707,0.8705713972153128
32829,0.8623888095919657
33164,0.0
33198,0.4409638498845026
33844,0.7421301669180428
33984,0.30996572964124397
34000,0.5738190417570044
34356,0.2867027094043001
34444,0.9960422849330509
34717,0.9181203978589455
35053,0.9498576646170663
35236,0.94483466839828
35452,0.011247587080223907
35519,0.8600247878419609
35520,0.07609514013767814
35549,0.6516311192522112
35609,0.8725179673753811
35739,0.4422258422612767
35870,0.893746522446902
36089,0.5594728550010625
36537,0.16986983593512145
36543,0.9468588387856999
36555,0.7387600438345171
36597,0.4672700587615175
36701,0.965813461714436
36748,0.8654262854811262
36770,0.6909874910284777
37153,0.6906226030914109
37600,0.45432367094867215
37773,0.582523306960612
37919,0.7342599640068285
38088,0.039419087136929466
38127,0.09705231721239392
38187,0.04090944884245955
38231,0.9450611597575438
38453,0.964051283291814
38521,0.2997532887660221
38987,0.4829508692329275
39112,0.15931737313308106
39382,0.20521826676126126
39552,0.2564332672439
39696,0.8320502943378436
39874,0.8796724571836388
40272,0.1881885892046462
40543,0.8754810482633325
40935,0.575435337648436
41271,0.8288219808114384
41530,0.38168683386340885
41677,0.996588185209509
41680,0.7318939744313497
41727,0.9909210039090098
41761,0.6989901220179584
41809,0.9994059993535875
41813,0.06623002203315385
41868,0.39245682132712867
41900,0.998812351543943
42454,0.7020809775487383
42581,0.9754480514198202
42608,0.7559851384694533
42660,0.4324811867684476
42713,0.3765397239547549
43073,0.8363333975829067
43176,0.4280863447390446
43211,0.11043152607484655
43333,0.6812860634358953
43430,0.9883716976506172
43475,0.7705113633180555
44002,0.18890684494681084
44027,0.9935236292499208
44260,0.9938837346736189
44279,0.0832945308401809
44348,0.21452990470595662
44402,0.25622230069610513
44820,0.27147387267613676
44846,0.9288652214141518
45594,0.0769441830506951
46217,0.3112864031823451
46236,0.9941348467724344
46975,0.45997261327641525
47144,0.9931116700304025
47484,0.5320167379873457
47561,0.959810954056567
47631,0.23020972107937257
48104,0.7755043588340306
48165,0.3347202984335197
48397,0.38868534479815164
48409,0.14426307048351616
48451,0.952033109297414
48667,0.4736230406806792
49519,0.7650234590868444
49766,0.7423006311389436
49778,0.5040147850948644
49845,0.1713488386938028
50056,0.2946605435775949
50256,0.696922529245227
50295,0.8737993675717887
50598,0.32069158750925547
50635,0.7620792603648312
50720,0.7474020843551905
50763,0.24253562503633294
50815,0.006926014955242497
50870,0.368980697127122
50884,0.08656413286363668
50966,0.4703404993137391
51647,0.13571271318291864
51672,0.9058734964731796
52060,0.39251878415550717
52279,0.9566738804288584
52526,0.6172257931691294
52527,0.9966935742956422
52645,0.9416235651398813
52717,0.7345541009604415
52835,0.1731104368588489
52854,0.932804120282851
52910,0.11659919181234496
52936,0.9245613404466196
52968,0.37322283058424754
53140,0.39562828403747224
53147,0.07717703731780474
53210,0.5714922297111094
53632,0.9738680978931302
53797,1.0
53828,0.31103906041462537
54230,0.8193050989282261
54311,0.7076137936427128
54674,0.7838803348652662
54948,0.5208650961914162
54959,0.0
55298,0.0
55350,0.0
55571,0.40479639253612365
55591,0.11401543762895629
55644,0.902258472810754
55839,0.7071067811865476
56274,0.9292994704523203
56334,0.40620908086798163
56468,0.31856823760187647
56511,0.15786740759277165
56768,0.14140171847338265
56965,0.963502014318748
57138,0.975111524561026
57147,0.04327423224079155
57204,0.5270576676298276
57465,0.9676770768455012
57507,0.7615797640675286
57528,0.3931554211544713
57575,0.5312671471146792
57655,0.4522408903794484
57968,0.4353705341975982
58096,0.09871428846306991
58259,0.8998359593342903
58394,0.4542345149031875
58682,0.09801661225156616
59041,0.5158069301444879
59931,0.5547001962252291
59965,0.1739589693284443
60018,0.43033462657617955
60204,0.7122288835200807
60279,0.6080540516514381
60314,0.6905574094114586
60383,0.9649436251969781
60391,0.11877113736973437
60605,0.07086268978414048
60722,0.45889145544969423
60971,0.66479790227203
61292,0.19943560522096726
61315,0.9303720857121929
61514,0.04488387870922642
62440,0.7530614404161107
62908,0.16384638410380806
63085,0.8016971129578796
63335,0.2963188789948769
63377,0.7398089740282277
63459,0.5399548191889317
63598,0.6502305267626604
64033,0.8921541830280325
64404,0.24618298195866548
64529,0.39757328397294533
64597,0.8821984331189522
64643,0.734884440983055
64877,0.4556787851633491
65115,0.43873484351120107
65140,0.06411805155485642
65597,0.46524210519923537
66130,0.7252175472612896
66157,0.3843271091901547
66333,0.03446227583977888
66362,0.3573923021581765
66393,0.21035453045854685
66415,0.934632500561047
67699,0.8334111985159266
67843,0.2520089711393541
68473,0.6290262034709888
68584,0.15389675281277312
68608,0.9651682051210676
68612,0.7110226438091983
68620,0.8864940247310726
68957,0.45529549172772493
69007,0.8200401662163176
69357,0.4372186967642011
69702,0.10065923990425822
69769,0.2857715366548384
69793,0.0
70043,0.7727085750364823
71280,0.7578512548950443
71416,0.168855383587465
71673,0.9994059993535875
72242,0.513065469068014
72329,0.037802388143019464
72440,0.19779025574900963
72542,0.37203388264751
72611,0.2912655677642061
72759,0.9694163745330328
73248,0.0
73277,0.6993025580583528
73513,0.9938273013534028
73998,0.9890139666464008
74104,0.9948964793006793
74820,0.8082097590365871
74904,0.6894696281004926
75618,0.04978637688583695
75738,0.6845098038399914
75890,0.6768383763869162
76442,0.7452082762607418
76465,0.6276459144608479
76555,0.656966076751887
76728,0.4224040812456726
76855,0.5722478946796141
77029,0.0
77085,0.601929265428846
77220,0.9708441572430053
77259,0.7667426818459865
77382,0.274631493281172
77408,0.3438028635685791
77645,0.6521674287591949
77783,0.09368415147273569
77833,0.6993025580583527
77859,0.2310089676704103
78085,0.24698951476909764
78150,0.5339784539487159
78241,0.9935443300308304
78447,0.12916836795650588
78844,0.2804999163024568
78922,0.8623910253520976
78964,0.1291736213982043
79096,0.7526834236170318
79463,0.9392351855873906
79604,0.8151422398602705
79629,0.5657789498610036
79734,0.03950929790655199
79943,0.12111632237468262
80037,0.11817126202592289
80357,0.7355524188596636
80709,0.0
80737,0.35604940496510085
80799,0.2913582733740325
80978,0.6592916420228088
81077,0.23808835953279717
81423,0.9527470343188593
81600,0.7303626654424935
81855,0.5239197072472331
81896,0.07277860041532225
82255,0.4472135954999579
82619,0.604551266231854
82631,0.20122026628496373
83854,0.8826198144191066
84213,0.0846164592284386
84617,0.9958968971038602
84937,0.1977582305322783
85075,0.2566042149869989
85230,0.37674678877466633
85333,0.12807584335554875
85410,0.10996891441653693
85429,0.07864456558090747
85670,0.750986350481134
85671,0.5684553516421069
86158,0.6630238949047917
86258,0.2500882085549032
86700,0.44487373503466743
86776,0.9014541567285522
86921,0.8461813291411208
86999,0.991767508370189
87039,0.708240874587592
87070,0.7323192318152187
87171,0.8333811506916624
87638,0.2803860770460221
87775,0.18814417367671946
87869,0.9847787208565075
88273,0.6124981031030394
88329,0.09207168653374533
88546,0.09085325946514161
88737,0.024897725768588515
88782,0.5394885294389958
88899,0.25324468927010285
88989,0.15296106465822196
89008,0.00755631933094112
89016,0.5108406854512807
