file1,file2,match_count,common_count,match_ratio
llama_20251114T045113_20.csv,qwen_20251114T050758_20.csv,155,500,0.31
llama_20251114T045113_20.csv,deepseek_20251114T050830_20.csv,102,500,0.204
qwen_20251114T050758_20.csv,deepseek_20251114T050830_20.csv,148,500,0.296
