req_id,cosine_similarity
226,0.0
657,0.6707924557869072
824,0.5702578995358702
988,0.9621848739495799
1005,0.16390721852371523
1011,0.8919705825680618
1140,0.35336942139804867
1326,0.7932608421261569
1555,0.4901154314507455
1575,0.14369388053660814
1723,0.6242850533251796
1963,0.11981694044868842
2288,0.04761904761904764
2550,0.2534979956837711
2555,0.5441327279244447
2631,0.40142319757878553
2795,0.583414368734618
2962,0.8664909992461745
3120,0.9045340337332908
3365,0.32726362898204087
3401,0.8395756178243343
3411,0.40618119722996165
3573,0.4232889865799339
3745,0.8398387664337814
4087,0.3336194809809575
4229,0.0977304618718414
4280,0.7799898990881786
4321,0.8327041650040514
4653,0.556210071715136
4737,0.18237539180983775
4917,0.08942036680197919
4922,0.4047619047619048
5373,0.3847888561951054
5403,0.317866523718991
5407,0.7257585157159804
5413,0.35835533949700915
5725,0.9210237338963059
5918,0.0
6125,0.9901475429766742
6345,0.13766219277928304
6411,0.3054604225385156
6447,0.9428090415820634
6498,0.31622776601683794
6531,0.5072952182475486
6778,0.5607030089159778
6836,0.003222588822499186
7022,0.13636754963000147
7143,0.2367646139432933
7331,0.8035231375229206
7947,0.2459760185072363
7965,0.5295763085727407
8779,0.6576774912825303
9226,0.24999999999999994
9310,0.8886114594211221
9437,0.3489688604605141
9471,0.17378533390904768
9675,0.5483118811101303
9696,0.4563587094370804
10905,0.43391037856766235
11028,0.7200109586330633
11061,0.10476454436543672
11211,0.5686644505248413
11217,0.6800192944972815
11616,0.3829821908911239
11704,0.3056004619944712
11765,0.48107977297846943
12085,0.4485825564173913
12093,0.3934313327989939
12618,0.5993137522064326
12743,0.0
13333,0.6022583488502073
13713,0.9163212290897084
13823,0.19543032005684602
13886,0.4093863802996814
13989,0.8351785300013596
14390,0.3983723948414993
15272,0.41870092808493264
15363,0.44474958999666064
15379,0.7018052847820746
15382,0.3877383631678361
15638,0.6040870991462723
15645,0.7492134240101289
15780,0.6660245913306954
15903,0.0
16153,0.5619514869490163
16251,0.28660575211055533
16704,0.13201852191369448
16909,0.2674283672493902
17033,0.5669948967315993
17114,0.9903641440745419
17579,0.7091357861639692
17832,0.2785430072655778
18102,0.3055557690172329
18110,0.3867151464431209
